Date,Time,TRSS,RX V(V),RQly,RSSI(dB),RNse(dB),RSNR(dB),BatV(V),Temp(@C),aAlt(m),Cell(V),Alt(m),Max(m),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SF,SH,LSW,TxBat(V)
2019-02-05,15:18:00.780,245,4.97,1,-60,-98,38,12.76,15.5,432,426,5,6,189,0,-725,7,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:01.780,247,4.96,1,-60,-98,38,12.78,15.5,432,426,5,6,-3,1,-460,7,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:02.780,245,4.99,1,-60,-98,38,12.47,15.5,433,415,6,6,178,0,-742,7,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:03.780,244,4.99,1,-60,-98,38,12.53,15.5,433,418,6,6,-6,0,662,5,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:04.780,245,4.84,1,-60,-98,38,11.89,15.5,433,398,6,6,-6,-811,708,9,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:05.780,244,4.98,2,-60,-98,38,11.79,15.5,436,394,9,9,-6,1,813,7,-208,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:06.780,244,4.97,2,-60,-98,38,11.75,15.5,436,392,9,9,-1,-72,1024,57,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
2019-02-05,15:18:07.780,244,4.98,2,-60,-98,38,11.72,15.0,438,390,11,11,-6,0,861,0,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:08.780,226,4.98,2,-61,-98,37,11.73,15.0,440,394,13,13,-1,-3,1024,0,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:09.780,236,4.98,4,-64,-98,34,11.69,15.5,443,389,16,17,-3,-1,1024,-44,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:10.780,176,4.98,4,-66,-98,32,11.61,15.0,448,386,21,21,12,0,1024,5,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:11.780,196,4.98,4,-65,-98,33,11.59,15.0,452,385,25,25,1,-184,1024,-141,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:12.780,111,4.97,4,-65,-98,33,11.51,15.0,453,385,26,26,-53,0,944,3,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:13.780,228,4.97,4,-66,-98,32,11.70,15.0,455,392,28,28,-9,-111,557,44,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:14.780,146,4.97,4,-65,-98,32,11.72,15.0,459,387,32,32,-9,-247,822,-35,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.6
2019-02-05,15:18:15.780,199,4.95,4,-66,-98,32,11.61,15.0,461,386,34,34,-9,-456,824,103,-207,1024,-1,-1,-1,-1,1,1,0x0000000000000000,7.7
